날짜,예측_위반_건수,예측_하한,예측_상한
2024-04-29,123.51017084287697,83.37015895319819,162.90232284630406
2024-04-30,124.10615082954709,85.03349648003102,165.48845779044547
2024-05-01,122.88556580239646,80.80836384888124,162.87780358868284
2024-05-02,120.37444001615492,81.13269818959559,161.22685916682698
2024-05-03,123.75433978487467,81.0234358744639,167.05137870704456
2024-05-04,121.65173623139542,81.2886140622824,162.81866463963996
2024-05-05,121.20648772179109,81.70886290475545,160.49651298640913
2024-05-06,119.51504029378464,81.26206473385051,162.26511677892654
2024-05-07,119.63788316333962,79.18726911325427,159.61799368938486
2024-05-08,118.0205895996682,75.14355943617122,159.03117803421847
2024-05-09,115.20390038242817,76.18991606877952,153.66066183667868
2024-05-10,118.38209504915892,75.26869326888401,158.55768313786896
2024-05-11,116.19200743576533,77.43766472493213,154.81778849628944
2024-05-12,115.78121556515197,76.02771871281654,158.74042777285428
2024-05-13,114.25101186123234,74.27296118897517,154.54922902993033
2024-05-14,114.66369693295286,75.95347136841482,155.2922048811073
2024-05-15,113.46353170878734,71.69184031687064,158.40798774237666
2024-05-16,111.1868078315047,72.23802567848871,150.04318685491634
2024-05-17,115.02028234905171,73.27515233936033,155.70571818956947
2024-05-18,113.5903321317904,74.39002182831618,154.6894904887044
2024-05-19,114.03135511979261,70.76433627686502,156.7117549340591
2024-05-20,113.42901961238337,74.37322477439163,154.48473106801478
2024-05-21,114.82789837695908,72.64740142689142,155.32321115196328
2024-05-22,114.65281437094538,73.193730404165,154.99805795028945
2024-05-23,113.41934859620531,72.54129690521319,155.43067407313896
2024-05-24,118.29274569594324,78.28763380241108,160.1010076485526
2024-05-25,117.8775613863418,78.85561772972954,156.92534729124128
2024-05-26,119.28656694125758,79.67269720699055,161.81727621058818
2024-05-27,119.58449977904382,79.11447607153258,161.83174296532806
2024-05-28,121.79618480013337,81.28487712385751,160.33805057140603
2024-05-29,122.32834145151762,81.88525179471284,160.85054807622643
2024-05-30,121.68051590890329,79.54595015627935,165.3730293029987
2024-05-31,127.00436368731133,87.0603136693028,166.4129313563552
2024-06-01,126.8936176978187,84.7807595753979,168.54022266773873
2024-06-02,128.45324926037478,88.62807729474518,168.09472015620753
2024-06-03,128.74340499871417,88.09196683992464,166.71743775339363
2024-06-04,130.78763987359747,88.53391405588445,172.08908160368426
2024-06-05,130.99475877437672,90.0955332233459,173.21638051908408
2024-06-06,129.86970539838774,91.649485193921,172.23970577337005
2024-06-07,134.57272497344903,94.10477517759848,178.71176315853197
2024-06-08,133.7091389521926,93.68218238098889,173.31059227365816
2024-06-09,134.398244082002,93.6877402793707,175.22586981679387
2024-06-10,133.71692532203684,92.20374714154977,175.9023496759792
2024-06-11,134.70751088955018,94.66287783146551,176.02211327628427
2024-06-12,133.79919115374156,89.49086308813568,177.86181973861488
2024-06-13,131.5184504374755,93.15324580468899,171.30761845577265
2024-06-14,135.04774938546967,94.27063956764728,177.21622492485523
2024-06-15,133.01480760819376,92.90853728863303,173.3374310846706
2024-06-16,132.56101079304347,92.8754424955775,175.6169116455727
2024-06-17,130.7845434311557,93.3243674190627,172.17421788620345
2024-06-18,130.7477867309818,91.90445699903655,169.99415583215782
2024-06-19,128.8983140555365,90.02028508753043,171.40008566108287
2024-06-20,125.77894263311086,84.4415670247045,167.67322601828874
2024-06-21,128.58608772427854,87.0519287064913,168.31398089113287
2024-06-22,125.95877612420794,84.60674850023288,166.14538492383718
2024-06-23,125.04684882089846,84.18857706212447,166.21005972727002
2024-06-24,122.95395794392685,81.41061171621338,165.53229005590765
2024-06-25,122.74489982468405,81.66604119451259,165.01257207767242
2024-06-26,120.86661698655999,80.66296462992722,159.86831561211858
2024-06-27,117.85832653898544,76.37108702636607,161.32863394408875
2024-06-28,120.91001817816658,78.63485654773952,159.48998508032983
2024-06-29,118.65167408900724,76.81280191436792,158.9755935195873
2024-06-30,118.2217345161895,77.38306940138884,159.25290913452307
2024-07-01,116.71040679296823,75.3390923234751,157.24442399626054
2024-07-02,117.16735121307917,75.1102117939631,160.12356015654706
2024-07-03,116.02306726962436,73.9354818841161,155.48876899087622
2024-07-04,113.79942782932685,72.80290424802487,154.71362534627607
2024-07-05,117.6685941893532,78.95373440085493,155.11410393326105
2024-07-06,116.24265397189778,77.9698979372923,158.4575027084431
2024-07-07,116.64249546523436,75.36782991077993,156.99872491968173
2024-07-08,115.94150647249849,75.50932236993955,159.11451515887407
2024-07-09,117.17362200897662,78.1380958191873,161.18222626942534
2024-07-10,116.75503620950906,75.77998108828527,158.18459071273654
2024-07-11,115.1950189437006,74.94887515822211,158.2129232254364
2024-07-12,119.65506425712641,78.99183737333149,161.43983934425435
2024-07-13,118.73870813213848,78.77667614075976,160.02591314021052
2024-07-14,119.56052617044605,78.93586881348712,161.53923447435872
2024-07-15,119.18989775582233,79.52700541187663,162.09756513885188
2024-07-16,120.65906103506772,79.46727227031192,161.8151151826483
2024-07-17,120.38477556017659,79.4997364403208,161.5226262806977
2024-07-18,118.87903596643031,78.43891777421096,160.46161001887066
2024-07-19,123.3080679794679,79.62726410301613,165.26960904805702
2024-07-20,122.28194957657729,82.51700873303335,162.310008896274
2024-07-21,122.92337422489271,80.15504355904271,165.1186899628094
2024-07-22,122.31114987600841,82.02725292978798,162.19002034353548
2024-07-23,123.4879657689071,81.99046436180035,167.38571900830388
2024-07-24,122.88175197388357,83.25611615336489,163.18704389646686
2024-07-25,121.01608329332443,81.92095270559682,159.55402069105844
2024-07-26,125.06886698377824,84.5614519073864,164.46054691880275
2024-07-27,123.66166501099147,82.04368146197066,168.30166270871683
2024-07-28,123.92817515885284,84.01170159557745,164.33359295045577
2024-07-29,122.95747139907502,80.34988566471566,161.65493143509963
2024-07-30,123.80154146574715,82.87177242413871,164.3197868555667
2024-07-31,122.89645149617137,83.91183024633959,167.2863665762088
2024-08-01,120.77259319727779,77.08890152005102,161.80394629096503
2024-08-02,124.61325571389136,83.40064557852853,167.6104074409902
2024-08-03,123.04387442353857,79.16466130001695,165.96208351234122
2024-08-04,123.20048130420399,83.29474750105062,164.90204879630593
2024-08-05,122.17295643939372,80.61142963507318,163.26742313181904
2024-08-06,123.01261665626078,82.58117527797619,164.66187911738194
2024-08-07,122.15346818469949,79.65997249817553,160.87158721378952
2024-08-08,120.1225749294151,79.68723195650574,157.66522561695112
2024-08-09,124.09877987806064,82.61640296735882,163.2936319125515
2024-08-10,122.70212661337219,79.85327787817856,162.5612317076802
2024-08-11,123.06249986522393,83.72142042054978,166.12912271338317
2024-08-12,122.26307868412935,79.5424042656346,160.74828584913192
2024-08-13,123.34813215360819,85.5878709002896,166.91981796136062
2024-08-14,122.7444785317269,79.32127554025112,163.3179585141912
2024-08-15,120.97205366446096,77.8048955273521,162.58611855131764
2024-08-16,125.20282085108082,85.93301481776795,169.5196445470501
2024-08-17,124.05036433160575,81.02453071117809,162.231429423112
2024-08-18,124.63868120071892,88.78764651795092,166.68884179686592
2024-08-19,124.04576196246131,84.95161977999005,162.78187279535928
2024-08-20,125.31148711156808,81.50229837458309,165.91510389100142
2024-08-21,124.85915898262726,84.24170310974212,164.5708631250319
2024-08-22,123.20611396137659,79.55721334802683,163.1629475905107
2024-08-23,127.52264737814434,87.1122934534716,170.2810072187311
2024-08-24,126.42159425810051,83.73227510719676,165.7544013138008
2024-08-25,127.02708252296972,86.74861790599151,166.4888436351578
2024-08-26,126.41805137134202,83.98967708273915,166.9848747510746
2024-08-27,127.63606534679197,85.76691498331839,169.9393632640243
2024-08-28,127.10674695479736,88.20973846271995,166.93959893369006
2024-08-29,125.35027691020633,85.49523997888458,166.68419969533497
2024-08-30,129.54019855646953,89.10316355109417,170.05734254857683
2024-08-31,128.29287393630156,86.25873739390701,168.29742274994553
2024-09-01,128.73611237653904,87.87334111193988,168.53917220157794
2024-09-02,127.95256839363465,85.52676010682576,165.6587804718711
2024-09-03,128.98744320631877,90.90860797515316,169.50336039261856
2024-09-04,128.2698160766833,88.87821793219977,174.28298402914268
2024-09-05,126.32305740962377,82.20311793555864,168.18147726656056
2024-09-06,130.32356241157643,90.07710908912516,173.47072551988967
2024-09-07,128.89015440260295,89.61839309102166,173.97671389222273
2024-09-08,129.15267958046684,85.67096162301138,171.23329254001908
2024-09-09,128.19539028802646,90.08922171033568,166.4960113082181
2024-09-10,129.0646506357559,89.62156997127519,172.61238801215157
2024-09-11,128.1902896189651,83.47555911735279,171.29866673750766
2024-09-12,126.09605198371004,86.0591560534838,165.73655015143504
2024-09-13,129.95838344351702,87.60070390783198,167.68659747292904
2024-09-14,128.39589670621118,86.4490103662224,169.83228799412348
2024-09-15,128.53803713715448,88.98167334072562,168.25216398146986
2024-09-16,127.46854191544011,85.6607237073688,166.4582293931732
2024-09-17,128.233223213352,86.07769793844089,168.19059924971526
2024-09-18,127.26139723813009,87.94283603292197,167.6398942670724
2024-09-19,125.07640619312785,85.31821371850792,165.58953044669312
2024-09-20,128.8544667957052,87.14365025378372,169.8348392982089
2024-09-21,127.21418917156556,84.7910415493173,165.48559440698295
2024-09-22,127.2852827277848,86.3749142934362,169.43188555746116
2024-09-23,126.15204111921099,87.14840437762038,167.1065176722765
2024-09-24,126.86113565431047,87.85016532557863,166.83897619112315
2024-09-25,125.84303835897211,84.22060843209746,168.786119383667
2024-09-26,123.62252174889532,84.13966626032013,164.2369194085177
2024-09-27,127.37746953384776,85.31034526832717,169.50910341504263
2024-09-28,125.728343237539,82.3602009491913,166.54649821575237
2024-09-29,125.80682303584715,87.13149262695637,168.41868396160237
2024-09-30,124.69921710653216,82.1474281906757,165.93589061149564
2024-10-01,125.45417142054998,87.40281534041111,168.62705795317336
2024-10-02,124.50400409544774,82.38133403318244,165.2440078330995
2024-10-03,122.37511448559748,83.79911687202859,165.68409526904478
2024-10-04,126.24670447429729,84.69979004707629,168.5439489789442
2024-10-05,124.74016020396,84.04416518214188,163.8965244746754
2024-10-06,124.987615701793,84.50804457473154,163.6183642221439
2024-10-07,124.07529564727417,83.2150250636342,164.19545526836353
2024-10-08,125.0511718588436,83.18546324622667,167.50166549258844
2024-10-09,124.34625990966977,87.96898879763154,164.50947500003375
2024-10-10,122.48500779457811,81.32467169846679,164.85703465092305
2024-10-11,126.64401543622765,82.56907804235384,164.54008168503103
2024-10-12,125.4414339407389,83.61879774427692,165.1019951243301
2024-10-13,126.00556616662497,80.97318126326545,167.52810845377545
2024-10-14,125.41826534737578,82.96274306731178,167.6568601840625
2024-10-15,126.72266524788965,84.73820654645073,168.23042122854034
2024-10-16,126.34456657058242,83.50560798948504,163.43430167537997
2024-10-17,124.80292939581781,83.52266067718304,166.82879571729794
2024-10-18,129.26870774954273,88.50931870403201,173.04191800633137
2024-10-19,128.35437221131002,88.26900462938957,166.6357256500261
2024-10-20,129.18263880995735,86.89417916482844,168.65828940653833
2024-10-21,128.829997445721,87.39047671536186,168.89632244604513
2024-10-22,130.33456973152462,87.84704973729536,170.52731874023988
2024-10-23,130.11761740359472,87.28345220989688,172.77090559895365
2024-10-24,128.6941476484926,89.37302744844379,171.0303259905577
2024-10-25,133.23184823349737,90.72523307686264,175.6952151765563
2024-10-26,132.3406954749168,93.04428789879815,171.1429589451877
2024-10-27,133.14175082659082,92.40819274905131,174.4317622933179
2024-10-28,132.71073734979632,90.40653007757824,175.57639431570337
2024-10-29,134.08592452642026,92.82439286726694,176.90733816081135
2024-10-30,133.68964172349473,96.78942003709207,174.10542254393894
2024-10-31,132.03886642874613,92.54824745032222,170.71108141990175
2024-11-01,136.30412053702304,96.41779517633775,178.27422602047585
2024-11-02,135.09901872451232,93.01556430539897,174.50811054162224
2024-11-03,135.54898627388877,96.70774184422791,176.71638077433323
2024-11-04,134.73473972425606,91.57571064261998,176.6743589743061
2024-11-05,135.70006138988862,95.35401827142523,174.47273521798485
2024-11-06,134.87319102999953,94.68252698552028,175.6145482560668
2024-11-07,132.77728406878072,90.86789605707327,174.03237276722706
2024-11-08,136.58917313315533,94.67493301963013,179.18300350781857
2024-11-09,134.9287805393753,95.94903359119166,173.4219725894887
2024-11-10,134.92770268756308,93.16963678397137,176.63075777474302
2024-11-11,133.67256323202648,94.31621199708017,176.01718835570875
2024-11-12,134.21266936202105,93.89300791652467,176.0430362189514
2024-11-13,132.98129747054787,91.40414410289785,177.69360298763738
2024-11-14,130.50606022449557,91.55564653305244,171.51608298614607
2024-11-15,133.9675939656576,94.45726058891005,172.92417060677536
2024-11-16,131.9889157247916,87.47698916590005,172.58547742927408
2024-11-17,131.70397190541195,91.42742807339476,172.4954905247998
2024-11-18,130.20097602404093,94.4747845550083,171.06251651247214
